Title	Full name	Affiliation
Dr.	Rohit Kumar Bondugula	Central University of Karnataka
Mr.	Amarender Busireddy	TCS
		
Mr.	Amrith Coumaran	Orbital Insight
Dr.	Subhranginee Das	K L University
Dr.	Fabio Dell'Acqua	University of Pavia
		
Dr.	Monica Dutta	Chitkara University
Mr.	Giampaolo Ferraioli	Universitŕ di Napoli Parthenope
Dr.	Alejandro C Frery	Victoria University of Wellington
Mr.	Paolo Gamba	Universitŕ degli Studi di Pavia
Dr.	Susmita Ghosh	Jadavpur University
Mr.	Bharath Kishore Gudepu	
Mr.	Omprakash Gurrapu	Volvo Trucks North America
Dr.	Shwetha HR	NITK Surathkal
Mr.	Shrinivas S Jagtap	BlueYonder
Dr.	MalleswaraRao Jillela	Indian Space Reseearch Organization
Dr.	Athira K	Digital University Kerala
Mr.	Vamsi K Kavuri	
Dr.	Saranya Kotturu	University of Hyderabad
Dr.	Ayushi Kurian	Hochschule Anhalt
Dr.	Sin Liang Lim	Multimedia University
Dr.	Sunandana Reddy Machireddy	Rajeev Gandhi Memorial College of Engineering and Technology
Mr.	Pavan Manjunath	Jain University
Mrs.	Srivallidevi Muthusami	Wabtec Organization
Dr.	Rajashree Naik	VIT-AP University
Dr.	Subrata Nandy	"Indian Institute of Remote Sensing, ISRO"
Prof.	Atul Negi	University of Hyderabad
Mr.	Hammed Obasekore	Kyungpook National University
Dr.	Pavan Kumar Kumar Pagadala	Koneru Lakshmaiah Education Foundation
Ms.	Laxmi Pamulaparthy	Vignana Bharathi Institute of Technology
Dr.	Sampad Kumar Panda	K L University
Dr.	Dharmendra Kumar Pandey	Space Applications Centre
Dr.	Raghunadh Pasunuri	Malla Reddy Engineering College (Autonomous) Hyderabad
Dr.	Swetha Pesaru	Vignana Bharathi Institute of Technology
Dr.	P Rajeshwari	Anurag University
Prof.	Raaj Ramsankaran	Indian Institute of Technology Bombay
Dr.	Sudip Roy	IIT Roorkee
Dr.	Hitendra T Sarma	Vasavi College of Engineering
Mr.	Dinesh Sathyamoorthy	Science & Technology Research Institute for Defence (STRIDE)
Ms.	Shagufta Shakeel	Madan Mohan Malaviya University of Technology
	Richa Sharma	Birla Institute of Technology Mesra
Dr.	Michal Shimoni	Kuva Space
Dr.	Randeep Singh	Amity University
Dr.	Chirag Rajendra Ternikar	"Indian Institute of Science, Bengaluru"
Dr.	Kiran Chand Thumaty	International Institute of Information Technology-Hyderabad
Dr.	Abhishek Tripathi	MathWorks India Pvt. Ltd.
Dr.	Amiya Kumar Tripathy	"Don Bosco Institute of Technology, Mumbai"
Mrs.	Shivam Trivedi	National Remote Sensing Centre
Dr.	Mandhula Trupthi	Anurag University
Prof.	Silvia Liberata Ullo	Universitŕ Degli Studi del Sannio
Dr.	Mustafa Ustuner	Samsun University
Dr.	Divya Sekhar Vaka	GEOFEM
Prof.	Amit Ved	Marwadi University
Dr.	Rajani Kant Verma	"Indian Institute of Technology, Jodhpur"
Prof.	Gobi Vetharatnam	Universiti Tunku Abdul Rahman
